gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3878935565	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/7/99ad7628-adcd-40a0-a873-4eba9bee6e28_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3816568411	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/6/b3defec9-04fb-4756-8405-cf1646fe29c0_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3807896392	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/6/eda5d8ee-2b02-4e0b-bda1-46dc8a048f79_image.jpg										© All rights reserved	Helge Berge
3803928392	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/6/c52edac9-df3f-490e-aef6-12cd02c27fc3_image.jpg										© All rights reserved	Jostein Sandvik
3803843450	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/6/2c71703e-b492-4643-903f-41c0b993584a_image.jpg										© All rights reserved	Gregorius Toonen
3780709644	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/5/5ec2b874-0847-4371-b90f-798c9d7fc7fc_image.jpg										© All rights reserved	Gunnar Stenhaug
3780709644	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/5/161eaa52-3cb7-40c8-b87e-62c86a637593_image.jpg										© All rights reserved	Gunnar Stenhaug
3780580606	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/5/d418bad2-0882-403d-8aee-3cc0029ca0e3_image.jpg										© All rights reserved	Helge Berge
3750105415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/4/f0230ecd-3efe-486b-b32b-dfe9c6e60cd1_image.jpg										© All rights reserved	Oddveig Torve
3735778325	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/3/96591f51-7255-41fe-b8b5-65522ec87a1e_image.jpg										© All rights reserved	Arnt Stavne
3735778325	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/3/71ae36b5-9588-45bd-a9e5-f8cc609ba2d3_image.jpg										© All rights reserved	Arnt Stavne
3735778325	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/3/787ec34d-3139-4851-b35e-400f7118e5b6_image.jpg										© All rights reserved	Arnt Stavne
