"model","metric","species","Parameter","metricEst","value"
"naive","RMSE",1,"gamma1","sd",NA
"naive","RMSE",1,"rangeW2","sd",NA
"naive","RMSE",1,"stdW2","sd",NA
"naive","RMSE",2,"alpha0","sd",NA
"naive","RMSE",2,"alpha1","sd",NA
"naive","RMSE",2,"beta0","sd",1.04849028785015
"naive","RMSE",2,"beta1","sd",0.435873035400279
"naive","RMSE",2,"ecoRange","sd",8.3664839060011
"naive","RMSE",2,"ecoSD","sd",0.0903376440640067
"naive","RMSE",2,"gamma0","sd",NA
"naive","RMSE",2,"gamma1","sd",NA
"naive","RMSE",2,"rangeW2","sd",NA
"naive","RMSE",2,"stdW2","sd",NA
